income,degree,gender
46.01262559,0,0
54.44378214,0,0
52.15340105,0,0
46.4844282,0,0
39.31792031,0,0
46.01348114,0,0
50.20299827,0,0
56.50043994,0,0
55.21182202,0,0
52.24047725,0,0
51.94852857,0,0
47.15209903,0,0
49.250102,0,0
46.901754,0,0
49.46907692,0,0
44.54700573,0,0
48.13680723,0,0
51.33867006,0,0
60.73068074,0,0
48.10784876,0,0
60.28786319,0,0
50.88390692,0,0
45.93381652,0,0
48.34240886,0,0
54.61764631,0,0
48.01435257,0,1
52.26250929,0,1
52.44547973,0,1
45.07254405,0,1
56.55102417,0,1
51.46636537,0,1
54.03880952,0,1
44.24577831,0,1
46.90673099,0,1
44.9959907,0,1
58.2673438,0,1
34.75845042,0,1
47.44294119,0,1
48.6289412,0,1
42.61636678,0,1
54.3445734,0,1
49.41078525,0,1
49.02328004,0,1
52.40345107,0,1
54.61580163,0,1
52.33958303,0,1
51.49382607,0,1
48.43642933,0,1
53.02138415,0,1
47.26135667,0,1
77.04429435,1,0
65.10458756,1,0
79.43005895,1,0
69.91645666,1,0
71.10574047,1,0
79.44199363,1,0
66.19127096,1,0
75.32389974,1,0
75.76215745,1,0
67.93211919,1,0
77.39418463,1,0
67.3446655,1,0
66.7110745,1,0
59.73875656,1,0
76.15012434,1,0
78.6870192,1,0
74.24490858,1,0
76.88692874,1,0
76.16015213,1,0
71.80117559,1,0
69.72420762,1,0
71.30570421,1,0
71.77240122,1,0
76.03362415,1,0
80.84025272,1,0
69.24865797,1,1
73.99391572,1,1
73.94018058,1,1
69.8726106,1,1
59.79631128,1,1
68.1545587,1,1
65.08952759,1,1
68.17239636,1,1
77.78819416,1,1
74.18277439,1,1
75.18722042,1,1
61.07614668,1,1
74.30115399,1,1
74.38955979,1,1
75.33402494,1,1
64.55381727,1,1
65.23406068,1,1
73.45961024,1,1
65.60216062,1,1
65.46349042,1,1
67.28210533,1,1
71.07433277,1,1
72.33012539,1,1
70.71031873,1,1
68.03955877,1,1
